search_request_id,search_request_created_at,estimated_duration,estimated_distance
b01bbb6c-8ee6-4087-bc8a-08d39d0e9f1d,2022-12-21T01:48:28Z,1013,4375
cbf85916-176c-44b8-9292-725b8c1619be,2022-12-21T01:49:12Z,585,2401
4676611a-dfbd-4cf8-9394-ff383f03bcdf,2022-12-21T01:49:23Z,843,3323
b9e7f7f3-d659-4385-84ed-aa67282de0de,2022-12-21T01:50:12Z,2072,16590
6384440f-1bca-41ed-bab6-466f5f16fe63,2022-12-21T01:51:07Z,1393,6632
e341e658-2848-4d0e-85ca-9a77f129649c,2022-12-21T01:51:27Z,843,3323
75d91f3b-fe68-4aea-8438-35bfb8e2f565,2022-12-21T01:52:02Z,3363,24658
c0fb8855-e901-4ee5-a964-7730d8503ea6,2022-12-21T01:52:35Z,1264,6408
9bd522f3-370a-46ed-aa4c-53f66bed3848,2022-12-21T01:52:42Z,927,5497
25f5a00a-46f9-45e5-bd26-eafd7a59a4c0,2022-12-21T01:54:10Z,2999,18099
8e4e1e5a-b8f0-440b-ae66-b918af89de73,2022-12-21T01:54:13Z,1397,7178
1b6db888-eb84-45ec-8ba3-05613bd92261,2022-12-21T01:54:44Z,2103,11258
0c305789-600c-4308-8065-ab4bbaad331c,2022-12-21T01:54:47Z,1141,6462
197d1bad-ccea-4ad5-9d08-217041d38928,2022-12-21T02:04:05Z,1874,9130
b123c0ec-e28b-4d21-b84f-3d6b636b47a0,2022-12-21T01:55:02Z,3445,24708
dbfb3773-d49a-4afd-a208-fda1ff6f7681,2022-12-21T02:30:34Z,2240,16362
ed38fea4-6ab4-4f99-8412-43ce58803c18,2022-12-21T01:55:35Z,1343,6302
b70aa716-0bcd-45f5-8e4c-bd601c20d45b,2022-12-21T01:55:48Z,4884,42009
47244eb3-c49a-488b-aa9c-153a534e37aa,2022-12-21T01:56:21Z,1397,7178
c81ef6b8-e4eb-4e05-a74a-770d83ef810b,2022-12-21T02:05:02Z,1924,10127
61822ee9-17a0-43b8-9b85-d3bdcddc9b6a,2022-12-21T02:06:03Z,1202,7365
f568cc7a-af1e-4912-a6c1-c0e42207754e,2022-12-21T02:17:31Z,2785,16997
0f6a4f07-05e9-4c85-8df8-2671da7e8410,2022-12-21T02:22:21Z,1155,7381
ac70a554-6375-48ce-94b3-5d92e4141823,2022-12-21T02:51:03Z,1483,8158
99999ee4-2ff5-443a-88a3-ef805ecc4625,2022-12-21T02:57:04Z,555,2787
8cee4f67-7cac-482b-b948-3bef71920695,2022-12-21T02:59:56Z,1340,7307
860f59a3-b7f4-45f1-a188-61717b281706,2022-12-21T03:05:38Z,3900,25611
c9390faf-7f6e-4402-8bbb-f4858c586ca3,2022-12-21T03:24:14Z,1120,7353
2c902e65-cc81-44fd-871b-e47fb0d9ab6d,2022-12-21T01:56:58Z,854,5337
363cb2b1-419e-4aeb-8e08-0ce4c46234cf,2022-12-21T01:57:35Z,3378,18555
29322087-0c2a-4c5e-bb07-6867e14b4344,2022-12-21T01:58:03Z,344,4188
b5e1e29e-305b-448f-a017-f5f8360cd322,2022-12-21T01:58:22Z,645,2084
c997181e-7e7c-48b3-8fa3-9c282c2e318b,2022-12-21T01:58:23Z,1906,9065
f6236b26-a9bb-4476-bc7e-155236cb37d2,2022-12-21T01:58:54Z,989,4264
256ba378-d500-4659-8ffc-ef5fc563bca4,2022-12-21T01:59:02Z,3434,17825
a58347fb-d21c-4255-b778-4b0b77da155a,2022-12-21T01:59:32Z,1344,6304
c660f415-dd61-4884-8755-d96146162edf,2022-12-21T01:59:37Z,2107,11278
e4ae620b-eb6f-4f45-97d2-5229c998f837,2022-12-21T02:00:01Z,1614,8951
80d3c587-bfa0-41c5-baf0-694219cefdf6,2022-12-21T02:00:42Z,3407,17815
5b7e6fef-a828-454d-b5d9-dc34325d34b0,2022-12-21T02:01:35Z,3407,17815
6e1509c9-1c79-4b74-804a-460cb2968ee9,2022-12-21T02:01:42Z,599,2117
4511f117-f91f-4d0e-959d-8971bd4f52ac,2022-12-21T02:01:46Z,1633,10228
3d752911-6fdd-496b-9b3d-0ee1689ce06f,2022-12-21T02:02:45Z,3407,17815
c09b9eb9-0b0c-4ed5-bb86-1b6e46d17d54,2022-12-21T02:09:08Z,1515,13655
5ba96f5f-103c-42b0-8243-54e05a517e87,2022-12-21T02:39:07Z,1671,11846
8975410f-1190-4408-a07a-6df12a0f0404,2022-12-21T03:51:45Z,2131,11611
d8be9e57-fed5-4210-b271-2e2a0fd22cf9,2022-12-21T03:58:27Z,1668,8926
3409f5c8-cde9-4281-ab23-97e149b32a2c,2022-12-21T04:03:50Z,1550,8597
c08d7e88-ae73-45e8-bcd3-951f0ed039e5,2022-12-21T04:25:25Z,944,4681
d1664f06-aecb-41fc-8dae-fc8b82438ae7,2022-12-21T02:01:51Z,1200,7359
2cc5a4ad-2441-4055-820b-e50f7a74ef59,2022-12-21T02:01:59Z,715,3126
ea477d7a-79b3-4522-81bf-fb2fc04febaf,2022-12-21T02:02:34Z,1876,9135
10806387-aceb-41fb-9a2a-65fe163abda3,2022-12-21T02:02:35Z,814,3216
a4b5a9e3-7b5e-41e0-8111-b495ec8838b2,2022-12-21T02:03:18Z,1874,9130
22ab0eae-f281-4386-8bdf-445b1ced5757,2022-12-21T02:03:20Z,814,3215
93f889cd-25f6-430b-b7e7-a33dd5aadab4,2022-12-21T02:03:51Z,1548,7853
ea42d11f-d4e7-4791-bd04-4f3d654d525d,2022-12-21T02:04:35Z,2673,13181
2d388700-f9d1-4758-89ae-b4ad18abab48,2022-12-21T02:06:41Z,1874,9130
7162198b-82c4-48ee-beab-5ef891c57f9c,2022-12-21T02:07:36Z,2365,13314
b9eb95a8-5555-4914-b31f-3170b7852432,2022-12-21T02:10:14Z,1674,12305
0af3af5b-78ef-4f2d-bbe1-af9a10064a78,2022-12-21T02:13:40Z,2712,18079
fbf30312-0220-4c9a-8915-69fe6b8f224b,2022-12-21T02:04:40Z,966,5910
